STATUS,UNITS,Magnitude,Subject
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
Deactive,Pounds,50,Retail
